Application mode,Course,Daytime/evening attendance,Admission grade,Tuition fees up to date,Scholarship holder,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 2nd sem (credited),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target
1,9500,1,123.9,1,0,0,7,6,0,9,7,14.11428571,Graduate
1,9238,1,157.0,1,1,0,6,5,0,12,4,11.0,Enrolled
17,9238,1,116.4,1,0,0,6,6,0,9,6,13.28571429,Graduate
1,9085,1,131.0,1,0,0,5,5,0,7,4,13.0,Enrolled
1,9147,1,122.1,1,0,0,5,5,0,6,5,12.33333333,Graduate
17,9500,1,118.8,1,0,0,7,6,0,7,6,13.71666667,Enrolled
44,9003,1,150.0,1,0,0,6,5,0,17,5,10.57142857,Enrolled
51,9070,1,130.0,1,0,2,6,6,0,9,4,13.4,Graduate
1,9147,1,138.8,0,0,0,5,3,0,8,2,13.5,Enrolled
18,8014,0,134.5,1,0,0,6,6,0,8,6,14.375,Graduate
1,9991,0,131.4,1,0,0,5,5,0,9,5,13.42857143,Graduate
39,33,1,102.5,0,0,0,7,0,0,7,1,10.0,Dropout
39,9119,1,128.8,1,0,0,5,0,0,0,0,0.0,Dropout
43,9147,1,122.9,1,0,0,5,1,0,8,2,12.0,Dropout
39,9991,0,113.9,1,0,0,5,5,0,5,5,11.6,Graduate
44,9130,1,120.0,0,0,2,6,3,1,11,3,12.0,Dropout
1,9773,1,121.1,1,0,0,6,4,0,5,0,0.0,Dropout
1,9147,1,120.4,1,0,0,5,5,0,5,5,15.8,Graduate
1,9500,1,100.6,1,0,0,7,5,0,9,7,14.34285714,Graduate
17,9773,1,121.4,0,0,0,6,4,0,7,5,13.8,Dropout
39,9991,0,109.7,1,0,0,5,0,0,0,0,0.0,Dropout
17,9991,0,134.1,1,0,0,5,2,0,11,3,14.33333333,Enrolled
17,9238,1,127.6,1,0,0,6,6,0,8,5,13.2,Graduate
17,9500,1,132.4,1,1,0,7,6,0,9,7,13.77142857,Graduate
44,8014,0,133.4,1,1,3,6,6,2,7,6,13.28571429,Graduate
1,9238,1,126.1,1,1,0,6,5,0,7,6,12.83333333,Graduate
39,9254,1,113.5,1,1,0,6,6,0,6,6,14.16666667,Graduate
1,9500,1,121.3,1,1,0,8,6,0,10,6,11.83333333,Enrolled
1,9773,1,121.8,1,1,0,6,4,0,12,3,11.0,Enrolled
1,9130,1,159.3,1,0,0,5,5,0,5,5,15.8,Graduate
39,9991,0,120.0,1,0,0,5,5,0,10,5,11.0,Dropout
1,9500,1,129.1,1,0,0,7,7,0,10,8,13.595,Graduate
7,9254,1,130.0,1,0,0,6,0,0,6,0,0.0,Dropout
39,9130,1,155.3,1,0,0,6,5,5,13,10,12.9,Dropout
17,9500,1,139.8,1,0,0,8,8,0,8,8,14.935,Graduate
1,171,1,115.2,1,0,0,0,0,0,0,0,0.0,Enrolled
1,9500,1,114.9,1,0,0,7,6,0,12,7,12.22142857,Graduate
44,9238,1,131.9,1,1,3,6,6,2,7,6,12.0,Graduate
17,171,1,126.0,1,1,0,0,0,0,0,0,0.0,Enrolled
17,9070,1,130.2,1,0,0,6,5,0,8,1,10.0,Enrolled
43,9070,1,120.9,1,0,0,6,0,0,6,0,0.0,Enrolled
42,9500,1,126.0,1,0,2,7,5,1,10,5,11.0,Dropout
1,171,1,128.2,1,1,0,0,0,0,0,0,0.0,Graduate
44,9003,1,130.0,1,0,0,6,6,0,7,6,12.42857143,Graduate
1,9147,1,120.1,1,0,0,5,5,0,10,4,10.75,Dropout
39,9254,1,100.0,1,0,0,6,6,0,8,5,10.8,Enrolled
17,9147,1,134.0,1,0,0,5,0,0,5,0,0.0,Enrolled
17,9500,1,130.8,1,0,0,7,7,0,8,8,13.75,Graduate
1,171,1,135.8,1,0,0,0,0,0,0,0,0.0,Dropout
17,9254,1,111.7,1,0,0,6,3,0,12,1,12.0,Dropout
1,9773,1,132.9,1,0,0,6,6,0,11,3,12.33333333,Graduate
17,9147,1,115.5,1,0,0,5,3,0,11,3,10.85714286,Dropout
18,9254,1,106.0,1,1,0,6,4,0,11,1,11.0,Dropout
17,9773,1,120.3,1,1,0,6,6,0,6,6,13.33333333,Graduate
17,9500,1,130.8,1,1,0,7,7,0,9,8,15.05555556,Graduate
39,8014,0,117.0,1,0,0,6,6,0,6,6,11.66666667,Graduate
1,9853,1,110.2,1,0,0,6,5,0,7,5,12.2,Dropout
39,9991,0,155.7,1,0,0,1,0,0,0,0,0.0,Dropout
39,9003,1,180.4,1,0,6,12,6,7,14,10,13.3,Dropout
17,9254,1,125.5,1,0,0,5,5,0,8,3,11.33333333,Enrolled
39,8014,0,110.0,1,0,0,6,6,0,11,5,11.0,Graduate
42,9500,1,161.0,1,1,0,8,7,0,8,7,13.08,Graduate
39,9670,1,100.0,1,1,0,5,4,0,7,5,11.6,Graduate
17,9070,1,117.6,1,0,0,6,6,0,6,5,11.2,Graduate
1,9147,1,128.7,1,0,0,5,4,0,5,5,13.8,Enrolled
43,9119,1,112.2,1,0,0,5,2,0,9,0,0.0,Enrolled
39,9500,1,100.8,1,0,0,7,0,0,7,0,0.0,Dropout
17,9773,1,105.0,0,0,0,6,6,0,6,6,13.5,Graduate
15,9130,1,100.0,1,0,0,6,2,0,6,0,0.0,Dropout
39,9853,1,115.5,1,0,0,6,3,0,14,0,0.0,Dropout
39,8014,0,114.0,1,0,2,8,8,0,7,6,12.33333333,Graduate
15,9119,1,137.0,1,0,0,5,5,0,11,3,13.25,Enrolled
1,9773,1,124.9,1,0,0,6,6,0,6,6,13.33333333,Graduate
1,9500,1,120.3,1,1,0,7,7,0,9,8,14.47777778,Graduate
1,9085,1,134.3,1,0,0,5,5,0,7,5,13.8,Enrolled
1,9500,1,111.5,0,0,0,7,4,0,7,0,0.0,Dropout
53,9085,1,128.8,1,0,7,10,8,4,14,5,13.4,Dropout
1,171,1,110.0,1,0,0,0,0,0,0,0,0.0,Graduate
39,8014,0,113.5,1,0,0,6,0,0,0,0,0.0,Dropout
39,9003,1,160.0,1,0,13,18,18,10,14,13,14.23076923,Graduate
18,9853,1,117.4,1,0,0,6,0,0,0,0,0.0,Dropout
51,9070,1,122.2,1,0,4,10,10,5,11,11,12.27272727,Graduate
1,9238,1,118.2,1,0,0,6,0,0,0,0,0.0,Dropout
1,9085,1,106.7,1,0,0,6,4,0,17,4,13.25,Dropout
1,9500,1,108.2,1,0,2,7,6,0,10,5,12.3,Dropout
17,9853,1,107.0,1,0,0,7,6,0,10,3,13.0,Enrolled
1,9238,1,136.1,1,0,0,6,6,0,6,6,15.0,Graduate
17,9147,1,115.3,1,1,0,5,3,0,11,3,11.0,Enrolled
1,9085,1,139.8,1,0,0,5,5,0,5,5,12.8,Graduate
1,9773,1,157.0,1,0,0,6,6,0,7,6,12.57142857,Graduate
17,9500,1,131.0,1,0,0,7,6,0,7,6,12.51666667,Dropout
43,9500,1,100.0,1,0,0,7,6,0,7,7,13.0,Enrolled
17,9238,1,140.4,1,1,0,6,2,0,12,4,10.75,Enrolled
17,9147,1,113.4,1,0,0,5,3,0,10,3,10.66666667,Enrolled
1,9085,1,137.0,1,0,0,5,5,0,6,5,11.4,Graduate
1,9147,1,121.8,1,0,0,5,5,0,5,5,14.0,Graduate
17,9254,1,131.0,1,0,0,6,3,0,12,2,11.0,Dropout
1,9147,1,118.6,1,0,0,5,5,0,9,4,11.25,Graduate
1,171,1,122.3,1,0,0,0,0,0,0,0,0.0,Dropout
1,9670,1,127.9,1,1,0,5,5,0,5,5,14.2,Graduate
1,9085,1,121.3,1,0,0,6,6,0,13,6,12.2,Graduate
17,9556,1,117.1,1,0,0,7,5,0,0,0,0.0,Dropout
44,9085,1,160.0,1,0,1,6,6,1,17,5,13.77777778,Graduate
1,9853,1,145.3,1,1,0,6,5,0,7,5,13.4,Enrolled
17,9238,1,122.6,1,0,0,6,6,0,6,6,13.66666667,Graduate
17,9500,1,128.0,1,0,0,7,7,0,9,8,15.01111111,Graduate
1,9500,1,124.9,1,1,0,7,7,0,9,7,13.74285714,Dropout
17,9070,1,123.7,1,0,0,6,6,0,6,6,13.0,Graduate
1,9147,1,120.1,1,0,0,5,5,0,5,5,14.6,Graduate
17,9500,1,131.7,1,0,0,7,5,0,7,0,0.0,Dropout
43,9238,1,133.2,1,0,5,9,9,2,8,7,11.71428571,Graduate
1,9670,1,109.3,0,1,0,6,5,0,9,4,12.5,Dropout
17,9670,1,113.0,1,0,0,5,4,0,5,4,11.5,Graduate
1,9773,1,157.9,1,1,0,6,6,0,6,6,14.83333333,Graduate
1,9500,1,112.1,1,1,0,7,5,0,9,7,12.89285714,Enrolled
18,9500,1,174.7,1,0,0,7,7,0,8,8,17.5875,Graduate
1,9500,1,128.8,1,0,0,7,6,0,7,6,12.66666667,Graduate
1,9773,1,110.1,1,1,0,6,6,0,10,5,12.0,Graduate
51,9147,1,99.7,0,0,0,5,0,0,7,0,0.0,Enrolled
1,9238,1,121.0,1,1,0,6,6,0,6,6,11.5,Graduate
1,9500,1,131.7,1,1,0,7,7,0,11,8,12.33125,Graduate
17,9853,1,119.1,1,1,0,6,5,0,9,5,10.8,Graduate
1,9254,1,124.7,1,0,0,5,0,0,10,0,0.0,Dropout
17,9254,1,117.2,1,0,0,6,5,0,12,3,11.66666667,Dropout
1,9147,1,128.8,1,0,0,5,5,0,9,5,14.16666667,Graduate
1,9500,1,131.5,1,1,0,7,6,0,9,7,14.17857143,Graduate
1,171,1,121.7,1,0,0,0,0,0,0,0,0.0,Enrolled
1,9085,1,123.4,1,0,0,5,5,0,6,5,13.4,Graduate
17,9853,1,124.7,1,0,0,6,3,0,10,5,10.83333333,Enrolled
1,9853,1,132.8,1,0,0,6,6,0,8,5,11.8,Graduate
43,9853,1,108.7,1,0,0,6,3,0,12,3,10.0,Dropout
1,9853,1,138.1,1,0,0,6,6,0,10,4,11.5,Dropout
1,9147,1,126.5,1,1,0,5,5,0,5,5,11.8,Graduate
17,9238,1,127.4,1,1,0,6,6,0,7,6,11.85714286,Graduate
1,9238,1,123.6,1,0,0,6,4,0,9,6,11.83333333,Graduate
39,8014,0,122.0,1,1,0,6,5,0,9,5,12.6,Graduate
1,9670,1,118.2,1,0,0,6,6,0,9,6,13.0,Dropout
1,9500,1,123.9,1,1,0,7,7,0,12,7,12.76111111,Graduate
1,9500,1,125.8,1,0,0,7,7,0,8,8,15.355,Graduate
17,9853,1,123.3,1,0,0,6,4,0,10,3,11.0,Dropout
17,9670,1,124.4,1,0,0,5,5,0,5,5,14.2,Graduate
17,9773,1,126.0,1,1,0,6,6,0,7,6,13.0,Graduate
39,9003,1,170.0,1,0,0,1,0,0,0,0,0.0,Enrolled
17,9238,1,121.5,1,0,0,6,5,0,12,4,11.0,Graduate
39,9500,1,130.0,1,0,1,8,7,1,8,7,14.25714286,Graduate
43,9238,1,117.0,1,0,0,6,3,0,12,2,11.33333333,Dropout
39,9085,1,130.0,1,0,0,5,4,0,11,4,10.5,Enrolled
17,9556,1,108.0,1,0,0,7,7,0,8,8,13.5625,Graduate
17,9500,1,132.3,1,0,0,7,6,0,7,6,11.68333333,Graduate
42,8014,0,148.0,1,0,0,6,3,0,8,5,12.0,Graduate
17,9254,1,122.6,0,0,0,6,4,0,6,6,13.16666667,Dropout
1,9670,1,123.0,1,1,0,5,3,0,6,4,13.5,Enrolled
39,9853,1,102.5,1,0,0,6,5,0,10,5,12.0,Graduate
1,9500,1,113.3,1,0,0,7,4,0,8,4,11.95,Dropout
1,9853,1,133.0,1,0,0,6,5,0,12,5,10.4,Dropout
7,9500,1,140.0,1,0,2,7,6,3,10,6,14.58333333,Dropout
43,9853,1,128.3,1,0,19,21,21,13,19,19,12.78947368,Graduate
44,9991,0,140.0,1,1,2,6,6,2,7,6,13.16666667,Enrolled
39,9773,1,104.0,0,0,0,6,5,0,6,0,0.0,Dropout
18,9070,1,122.3,0,0,0,6,6,0,6,0,0.0,Dropout
17,9254,1,135.0,1,0,0,6,0,0,0,0,0.0,Dropout
18,9147,1,119.1,0,0,0,5,3,0,9,3,10.57142857,Dropout
43,9238,1,126.6,0,0,5,10,8,0,12,4,10.0,Enrolled
17,9500,1,129.0,1,1,0,7,6,0,7,6,13.05,Graduate
39,9085,1,162.3,1,0,0,6,2,0,6,0,0.0,Dropout
17,9070,1,163.4,1,0,0,6,6,0,6,6,12.0,Graduate
1,9254,1,121.5,1,1,0,6,6,0,6,6,12.5,Graduate
1,8014,0,122.8,1,0,0,6,2,0,12,1,10.0,Enrolled
39,9147,1,118.0,1,0,0,5,0,0,5,0,0.0,Dropout
51,9853,1,134.0,1,0,0,6,0,0,0,0,0.0,Dropout
1,9500,1,129.8,1,0,0,8,7,0,8,7,12.24285714,Graduate
39,9991,0,152.0,1,0,0,5,0,0,0,0,0.0,Dropout
18,9500,1,122.8,1,0,0,8,8,0,8,8,12.93375,Graduate
7,9119,1,150.0,1,0,0,5,0,0,0,0,0.0,Dropout
1,9853,1,131.8,1,0,0,7,7,0,8,7,14.42857143,Graduate
39,9500,1,105.9,1,0,0,3,3,0,3,3,11.33333333,Enrolled
1,9085,1,132.1,1,0,0,5,4,0,13,4,14.33333333,Graduate
1,9238,1,127.4,1,0,0,6,6,0,6,6,11.33333333,Graduate
1,9500,1,129.5,1,0,0,8,7,0,8,7,12.32428571,Graduate
44,9238,1,126.7,1,0,3,6,6,2,7,6,11.71428571,Graduate
17,9238,1,116.5,1,1,0,6,5,0,11,4,11.25,Graduate
1,9238,1,119.1,1,0,0,6,4,0,9,4,10.75,Graduate
1,9500,1,126.5,1,0,0,8,7,0,8,7,12.91428571,Graduate
1,9773,1,149.8,1,1,0,6,6,0,6,6,14.16666667,Graduate
1,9085,1,115.1,1,0,0,6,6,0,9,5,13.4,Graduate
39,9254,1,124.5,1,1,0,6,6,0,6,5,12.8,Dropout
1,9500,1,128.3,1,1,0,8,7,0,8,7,12.64285714,Graduate
1,9500,1,136.0,1,1,0,7,6,0,7,6,12.91666667,Graduate
43,9130,1,140.0,1,1,0,6,6,0,8,6,15.85714286,Graduate
39,9991,0,126.3,1,1,0,5,0,0,8,0,0.0,Dropout
43,9773,1,126.9,1,0,0,6,6,0,7,6,12.0,Graduate
39,9556,1,145.0,1,0,0,7,6,0,9,8,13.3125,Enrolled
18,9147,1,115.8,1,1,0,5,5,0,5,5,11.6,Graduate
39,8014,0,100.0,1,0,0,6,1,0,6,0,0.0,Dropout
39,8014,0,102.5,1,1,0,6,1,0,13,0,0.0,Dropout
17,9085,1,131.5,1,0,0,5,0,0,9,2,13.5,Dropout
1,9147,1,147.0,1,1,0,5,4,0,8,3,12.33333333,Graduate
1,9853,1,122.5,1,1,0,6,6,0,6,6,14.5,Graduate
1,9254,1,117.5,1,0,0,6,4,0,13,2,12.5,Dropout
51,9500,1,150.0,1,1,0,7,5,0,9,7,12.19285714,Graduate
18,9500,1,127.5,1,1,0,7,6,0,9,7,14.9125,Graduate
7,9991,0,140.0,1,0,2,6,6,0,5,5,15.8,Graduate
7,9147,1,130.0,1,0,0,5,5,0,5,5,13.8,Graduate
1,9238,1,133.3,1,1,0,6,6,0,7,6,12.85714286,Graduate
39,9670,1,97.0,1,0,0,5,0,0,5,0,0.0,Dropout
43,9500,1,112.0,1,1,0,8,7,0,15,7,11.57142857,Graduate
1,9254,1,123.6,1,0,0,6,6,0,6,3,12.66666667,Graduate
39,9254,1,130.5,1,0,0,6,0,0,0,0,0.0,Dropout
1,9670,1,133.3,1,0,0,5,5,0,5,5,13.2,Graduate
1,9254,1,132.1,1,1,0,6,5,0,8,5,12.0,Graduate
1,9147,1,100.0,1,0,0,5,3,0,12,1,15.0,Dropout
1,9238,1,140.4,1,1,0,6,5,0,6,6,13.0,Graduate
1,9853,1,141.7,1,1,0,6,5,0,7,6,13.16666667,Graduate
17,9238,1,119.7,1,1,0,6,6,0,9,6,11.57142857,Graduate
1,9130,1,122.5,0,0,0,5,4,0,10,4,14.25,Dropout
39,9085,1,140.0,0,0,2,6,3,1,14,3,10.33333333,Dropout
1,9500,1,119.4,1,0,0,7,6,0,8,7,11.4625,Enrolled
16,171,1,155.0,1,0,11,17,11,9,15,9,13.55555556,Enrolled
1,9147,1,119.1,1,1,0,5,5,0,5,5,13.6,Graduate
39,9147,1,122.7,0,0,0,5,0,0,9,0,0.0,Dropout
1,9147,1,117.9,1,1,5,10,9,4,12,10,12.36363636,Graduate
7,9500,1,130.0,1,0,0,8,8,0,8,8,13.22,Graduate
17,9500,1,120.0,1,1,0,8,7,0,8,7,13.15142857,Graduate
44,9003,1,130.0,0,0,0,6,3,0,8,3,11.33333333,Dropout
1,9254,1,116.8,1,0,0,6,6,0,8,4,12.25,Graduate
1,9670,1,123.4,1,1,0,6,6,0,13,5,14.14285714,Graduate
1,9070,1,125.4,1,0,0,6,5,0,6,5,12.4,Enrolled
1,9773,1,127.2,1,1,0,6,6,0,6,6,12.83333333,Dropout
1,9085,1,103.4,1,0,0,5,5,0,6,5,13.0,Graduate
1,9773,1,123.2,1,0,0,6,1,0,12,0,0.0,Enrolled
17,9147,1,124.1,1,0,0,5,5,0,6,5,10.8,Graduate
39,9556,1,99.5,0,1,0,7,1,0,12,0,0.0,Dropout
17,9991,0,124.9,1,0,0,5,5,0,14,5,12.33333333,Graduate
17,9070,1,110.8,1,0,0,6,6,0,6,6,12.5,Enrolled
1,9238,1,118.9,1,1,0,6,5,0,9,5,12.66666667,Graduate
43,9238,1,118.8,0,0,6,10,6,2,8,2,13.0,Dropout
1,9254,1,137.0,1,1,0,6,6,0,10,5,10.6,Graduate
39,8014,0,100.0,1,0,0,6,0,0,0,0,0.0,Dropout
43,9119,1,120.0,0,0,8,12,8,6,19,6,12.16666667,Dropout
1,9238,1,122.8,1,0,0,6,6,0,7,6,14.0,Graduate
1,9238,1,121.6,1,0,0,6,6,0,6,6,12.0,Graduate
1,9773,1,149.2,1,0,0,6,4,0,10,3,11.66666667,Graduate
17,9500,1,140.0,1,0,0,8,7,0,8,7,14.82857143,Graduate
1,9773,1,133.4,1,1,0,6,5,0,8,5,12.8,Graduate
1,9070,1,126.2,1,1,0,6,6,0,8,6,12.5,Graduate
1,9500,1,127.8,1,1,0,8,7,0,8,7,13.67142857,Graduate
44,9003,1,150.0,1,1,0,6,6,0,8,5,12.8,Graduate
1,9147,1,113.7,0,0,0,5,2,0,12,1,13.0,Dropout
17,9147,1,117.8,1,0,0,5,5,0,8,5,12.33333333,Graduate
1,9500,1,136.7,1,0,2,7,7,1,8,8,13.55,Graduate
1,9238,1,144.7,1,0,0,6,6,0,7,6,15.42857143,Graduate
17,9500,1,139.8,1,0,0,7,7,0,8,8,15.3875,Graduate
42,9853,1,113.7,1,0,0,6,5,0,10,3,10.66666667,Dropout
7,9130,1,140.0,0,0,7,9,7,5,12,5,13.2,Dropout
1,9500,1,142.3,1,1,0,7,7,0,8,8,13.775,Enrolled
1,9500,1,119.6,1,1,0,7,7,0,11,7,13.81285714,Graduate
16,9147,1,123.7,1,1,0,5,4,0,8,4,11.4,Graduate
1,8014,0,143.0,1,1,0,6,5,0,7,6,14.16666667,Graduate
51,9991,0,100.1,1,0,1,5,5,0,5,5,13.8,Graduate
1,9070,1,119.4,1,1,0,6,5,0,6,6,12.83333333,Graduate
1,8014,0,122.1,1,0,0,6,5,0,10,6,11.85714286,Graduate
39,9773,1,100.0,1,0,0,6,6,0,6,6,13.83333333,Graduate
17,9070,1,113.9,1,0,0,6,6,0,6,6,12.33333333,Enrolled
39,8014,0,101.0,1,0,0,6,4,0,12,4,11.5,Graduate
18,8014,0,111.8,1,1,0,6,6,0,9,6,11.5,Graduate
39,9500,1,140.0,1,0,0,8,8,0,8,8,13.385,Graduate
17,9085,1,124.4,1,0,0,6,6,0,9,6,14.5,Graduate
44,9003,1,150.0,1,1,0,6,6,0,7,6,13.83333333,Graduate
44,9003,1,140.0,1,0,0,6,6,0,12,5,13.0,Enrolled
17,9238,1,116.0,1,1,0,6,6,0,8,6,11.66666667,Graduate
1,9070,1,135.6,1,1,0,6,5,0,10,2,11.33333333,Dropout
1,9500,1,121.0,1,1,0,8,7,0,8,7,14.72571429,Graduate
17,9773,1,118.7,1,1,0,6,6,0,6,6,13.66666667,Graduate
1,9238,1,125.7,1,0,0,6,6,0,8,6,12.33333333,Graduate
17,9556,1,107.1,1,0,0,7,7,0,8,8,13.1375,Graduate
1,9500,1,125.5,1,0,0,8,8,0,10,8,12.86,Graduate
17,9670,1,127.0,1,0,0,6,6,0,9,6,13.71428571,Graduate
1,9085,1,113.5,1,1,0,5,4,0,5,5,12.2,Graduate
1,9500,1,154.4,1,1,0,7,7,0,9,8,16.16888889,Graduate
51,9670,1,122.0,0,0,0,5,2,0,6,4,10.25,Dropout
17,9238,1,128.0,1,0,0,6,0,0,0,0,0.0,Dropout
1,9670,1,115.5,1,0,0,6,4,0,9,4,11.0,Enrolled
17,9670,1,117.2,1,0,0,6,6,0,11,4,14.6,Graduate
39,9130,1,150.0,1,0,1,5,1,0,5,0,0.0,Dropout
1,9085,1,155.3,1,0,0,5,5,0,6,5,13.2,Graduate
44,9130,1,120.0,0,0,2,6,5,1,12,2,11.0,Dropout
51,9238,1,116.1,1,0,0,6,6,0,7,6,15.14285714,Graduate
17,9853,1,118.9,1,0,0,6,3,0,10,3,11.33333333,Dropout
17,9147,1,127.3,1,1,0,5,5,0,5,5,11.8,Graduate
17,9853,1,113.7,1,1,0,6,5,0,9,5,13.66666667,Graduate
51,9147,1,118.5,1,0,0,5,2,0,5,0,0.0,Dropout
1,9147,1,146.7,1,0,0,5,5,0,5,5,16.4,Graduate
1,9500,1,124.3,1,1,0,7,7,0,11,8,14.88181818,Graduate
1,9500,1,137.8,1,0,0,7,7,0,9,8,14.35555556,Graduate
1,9238,1,130.2,1,1,0,6,6,0,10,6,11.85714286,Graduate
17,9500,1,147.8,1,0,0,7,6,0,12,6,13.08333333,Enrolled
7,9085,1,150.0,0,0,0,3,0,0,0,0,0.0,Dropout
42,9500,1,100.0,1,1,0,8,7,0,8,7,13.05857143,Graduate
1,9500,1,155.6,1,0,0,7,7,0,9,8,14.05555556,Graduate
43,9147,1,117.4,1,0,3,10,5,4,14,8,12.0,Graduate
5,9085,1,128.8,1,0,0,5,3,0,8,3,13.0,Enrolled
1,9254,1,117.5,1,0,0,6,6,0,11,3,11.66666667,Graduate
43,9500,1,120.4,1,0,0,7,6,0,7,6,13.33333333,Graduate
1,9238,1,130.9,1,0,0,6,6,0,9,5,11.0,Graduate
1,9853,1,125.0,1,0,0,6,5,0,8,5,11.4,Enrolled
1,9085,1,136.8,1,0,0,5,5,0,7,5,11.6,Enrolled
1,9853,1,121.6,1,0,0,7,5,0,9,6,12.66666667,Enrolled
44,9119,1,151.0,1,0,0,5,0,0,5,0,0.0,Dropout
1,9238,1,103.5,1,0,0,6,6,0,7,6,13.0,Graduate
1,8014,0,119.4,1,0,0,6,6,0,6,6,11.66666667,Graduate
1,9238,1,134.4,1,1,0,6,6,0,9,6,13.66666667,Graduate
44,9238,1,143.0,1,0,3,6,6,2,6,6,14.66666667,Graduate
7,9853,1,110.0,1,0,0,7,7,0,7,7,14.57142857,Graduate
1,9500,1,132.5,1,1,0,8,8,0,8,8,13.39125,Graduate
17,9238,1,114.7,1,0,0,6,5,0,8,6,12.42857143,Graduate
17,9130,1,166.9,1,0,0,5,4,0,6,4,12.5,Graduate
1,9085,1,125.9,1,0,0,5,4,0,8,3,12.0,Enrolled
1,171,1,178.3,1,0,0,0,0,0,0,0,0.0,Dropout
39,8014,0,117.0,1,0,0,6,6,0,8,6,12.85714286,Graduate
39,9003,1,150.0,1,0,0,6,6,0,11,6,13.1,Graduate
42,9147,1,130.0,1,0,3,5,4,1,7,2,12.0,Enrolled
1,9773,1,135.1,1,0,0,6,6,0,8,6,12.5,Graduate
43,9238,1,110.0,1,0,10,16,13,9,19,9,12.30769231,Enrolled
39,9991,0,136.2,1,0,0,5,5,0,9,5,11.66666667,Graduate
39,9238,1,116.0,1,0,0,6,6,0,6,6,13.83333333,Graduate
1,8014,0,100.0,1,0,0,6,5,0,9,4,11.25,Enrolled
1,9254,1,116.3,1,0,0,6,4,0,6,4,11.5,Dropout
43,9773,1,134.0,1,1,0,6,6,0,6,6,13.33333333,Graduate
1,171,1,124.2,0,0,0,0,0,0,0,0,0.0,Dropout
1,9500,1,134.5,1,1,0,7,6,0,7,6,14.2,Graduate
1,9254,1,120.7,0,0,0,6,5,0,12,0,0.0,Dropout
17,9085,1,127.1,1,0,0,6,6,0,7,6,16.42857143,Graduate
39,9500,1,133.0,1,0,0,7,6,0,9,7,13.44285714,Graduate
39,9991,0,128.2,1,0,0,5,0,0,0,0,0.0,Dropout
39,9003,1,130.0,1,1,0,6,0,0,6,0,0.0,Enrolled
39,9085,1,172.0,1,0,0,6,0,0,0,0,0.0,Dropout
17,9853,1,128.5,1,0,0,6,6,0,10,6,11.83333333,Graduate
1,9773,1,128.5,1,0,0,6,3,0,12,2,10.0,Dropout
17,9147,1,112.0,1,0,0,5,3,0,9,4,11.0,Enrolled
53,9085,1,142.5,1,1,7,11,8,4,16,7,13.71428571,Graduate
1,9500,1,133.0,1,0,0,7,5,0,8,5,13.98,Enrolled
1,9085,1,106.0,1,1,0,6,6,0,10,6,15.75,Graduate
1,9500,1,125.5,1,1,0,7,6,0,7,6,14.03333333,Graduate
17,9085,1,131.2,1,0,0,5,1,0,6,5,11.2,Enrolled
1,9853,1,112.9,1,1,0,7,7,0,8,6,13.66666667,Graduate
1,9500,1,124.8,1,0,0,8,7,0,8,7,13.41428571,Dropout
43,8014,0,140.9,1,0,7,11,11,3,7,7,13.57142857,Graduate
